2026-09-16 23:25:45.791 | INFO     | argus.llm.openrouter:record_openrouter_route_receipt:309 - OpenRouter route receipt {"task":"asset_mention_preflight","tier":"structured","model":"x-ai/grok-4.3","fallback_model":"anthropic/claude-haiku-4.5","mode":"json_schema","schema_name":"LLMAssetMentionExtraction","latency_ms":876,"outcome":"succeeded","failure_mode":null,"fallback_used":false,"token_usage":{"prompt_tokens":782,"completion_tokens":17,"total_tokens":799,"cached_tokens":768,"cache_write_tokens":0},"usage_cost_usd":0.0002136,"context_packet_ids":[],"created_at":"2026-09-17T04:25:45.791795+00:00"}
2026-09-16 23:25:52.603 | INFO     | argus.llm.openrouter:record_openrouter_route_receipt:309 - OpenRouter route receipt {"task":"interpretation","tier":"structured","model":"x-ai/grok-4.3","fallback_model":"anthropic/claude-haiku-4.5","mode":"json_schema","schema_name":"LLMInterpretationResponse","latency_ms":6810,"outcome":"succeeded","failure_mode":null,"fallback_used":false,"token_usage":{"prompt_tokens":10900,"completion_tokens":879,"total_tokens":11779,"cached_tokens":192,"cache_write_tokens":0},"usage_cost_usd":0.0156209,"context_packet_ids":[],"created_at":"2026-09-17T04:25:52.603075+00:00"}
2026-09-16 23:25:57.489 | INFO     | argus.llm.openrouter:record_openrouter_route_receipt:309 - OpenRouter route receipt {"task":"discovery_extraction","tier":"structured","model":"x-ai/grok-4.3","fallback_model":"anthropic/claude-haiku-4.5","mode":"json_schema","schema_name":"discovery_extraction","latency_ms":3636,"outcome":"succeeded","failure_mode":null,"fallback_used":false,"token_usage":{"prompt_tokens":2612,"completion_tokens":462,"total_tokens":3074,"cached_tokens":128,"cache_write_tokens":0},"usage_cost_usd":0.0042856,"context_packet_ids":[],"created_at":"2026-09-17T04:25:57.488932+00:00"}
2026-09-16 23:26:00.306 | INFO     | argus.agent_runtime.discovery.validation:validated_candidates:234 - Discovery candidate dropped: listed but no price history
2026-09-16 23:26:00.460 | INFO     | argus.agent_runtime.discovery.validation:validated_candidates:203 - Discovery candidate dropped: resolution does not match the named entity
2026-09-16 23:26:00.619 | INFO     | argus.agent_runtime.discovery.validation:validated_candidates:234 - Discovery candidate dropped: listed but no price history
2026-09-16 23:26:00.916 | INFO     | argus.agent_runtime.discovery.validation:validated_candidates:234 - Discovery candidate dropped: listed but no price history
2026-09-16 23:26:04.425 | INFO     | argus.llm.openrouter:record_openrouter_route_receipt:309 - OpenRouter route receipt {"task":"discovery_voicing","tier":"chat","model":"deepseek/deepseek-v4-flash","fallback_model":"qwen/qwen3.5-9b","mode":"chat_model","schema_name":null,"latency_ms":3350,"outcome":"succeeded","failure_mode":null,"fallback_used":false,"token_usage":{"prompt_tokens":213,"completion_tokens":57,"total_tokens":270,"cached_tokens":201,"cache_write_tokens":0},"usage_cost_usd":1.1394e-05,"context_packet_ids":[],"created_at":"2026-09-17T04:26:04.425303+00:00"}
2026-09-16 23:26:04.425 | INFO     | argus.agent_runtime.discovery.composer:discovery_operation_result:347 - Grounded discovery response composed
2026-09-16 23:26:06.532 | INFO     | argus.llm.openrouter:record_openrouter_route_receipt:309 - OpenRouter route receipt {"task":"chat_composer","tier":"chat","model":"deepseek/deepseek-v4-flash","fallback_model":"qwen/qwen3.5-9b","mode":"json_schema","schema_name":"ArgusProseJudgeResponse","latency_ms":2106,"outcome":"succeeded","failure_mode":null,"fallback_used":false,"token_usage":{"prompt_tokens":771,"completion_tokens":65,"total_tokens":836,"cached_tokens":0,"cache_write_tokens":0},"usage_cost_usd":0.0001775,"context_packet_ids":[],"created_at":"2026-09-17T04:26:06.532713+00:00"}
2026-09-16 23:26:07.293 | INFO     | argus.llm.openrouter:record_openrouter_route_receipt:309 - OpenRouter route receipt {"task":"asset_mention_preflight","tier":"structured","model":"x-ai/grok-4.3","fallback_model":"anthropic/claude-haiku-4.5","mode":"json_schema","schema_name":"LLMAssetMentionExtraction","latency_ms":755,"outcome":"succeeded","failure_mode":null,"fallback_used":false,"token_usage":{"prompt_tokens":782,"completion_tokens":17,"total_tokens":799,"cached_tokens":768,"cache_write_tokens":0},"usage_cost_usd":0.0002136,"context_packet_ids":[],"created_at":"2026-09-17T04:26:07.293730+00:00"}
2026-09-16 23:26:18.242 | INFO     | argus.llm.openrouter:record_openrouter_route_receipt:309 - OpenRouter route receipt {"task":"interpretation","tier":"structured","model":"x-ai/grok-4.3","fallback_model":"anthropic/claude-haiku-4.5","mode":"json_schema","schema_name":"LLMInterpretationResponse","latency_ms":10948,"outcome":"succeeded","failure_mode":null,"fallback_used":false,"token_usage":{"prompt_tokens":10900,"completion_tokens":1243,"total_tokens":12143,"cached_tokens":1536,"cache_write_tokens":0},"usage_cost_usd":0.0151197,"context_packet_ids":[],"created_at":"2026-09-17T04:26:18.242542+00:00"}
2026-09-16 23:26:22.757 | INFO     | argus.llm.openrouter:record_openrouter_route_receipt:309 - OpenRouter route receipt {"task":"discovery_extraction","tier":"structured","model":"x-ai/grok-4.3","fallback_model":"anthropic/claude-haiku-4.5","mode":"json_schema","schema_name":"discovery_extraction","latency_ms":3332,"outcome":"succeeded","failure_mode":null,"fallback_used":false,"token_usage":{"prompt_tokens":2589,"completion_tokens":458,"total_tokens":3047,"cached_tokens":128,"cache_write_tokens":0},"usage_cost_usd":0.00424685,"context_packet_ids":[],"created_at":"2026-09-17T04:26:22.757665+00:00"}
2026-09-16 23:26:24.200 | INFO     | argus.agent_runtime.discovery.validation:validated_candidates:234 - Discovery candidate dropped: listed but no price history
2026-09-16 23:26:24.361 | INFO     | argus.agent_runtime.discovery.validation:validated_candidates:203 - Discovery candidate dropped: resolution does not match the named entity
2026-09-16 23:26:24.362 | INFO     | argus.agent_runtime.discovery.validation:validated_candidates:203 - Discovery candidate dropped: resolution does not match the named entity
2026-09-16 23:26:24.506 | INFO     | argus.agent_runtime.discovery.validation:validated_candidates:234 - Discovery candidate dropped: listed but no price history
2026-09-16 23:26:24.817 | INFO     | argus.agent_runtime.discovery.validation:validated_candidates:234 - Discovery candidate dropped: listed but no price history
2026-09-16 23:26:24.817 | INFO     | argus.agent_runtime.discovery.composer:discovery_operation_result:283 - Grounded discovery found no offerable candidate; falling through to resolver-verified rows
2026-09-16 23:26:29.412 | INFO     | argus.llm.openrouter:record_openrouter_route_receipt:309 - OpenRouter route receipt {"task":"discovery_model_knowledge","tier":"structured","model":"x-ai/grok-4.3","fallback_model":"anthropic/claude-haiku-4.5","mode":"json_schema","schema_name":"discovery_model_knowledge","latency_ms":4594,"outcome":"succeeded","failure_mode":null,"fallback_used":false,"token_usage":{"prompt_tokens":476,"completion_tokens":386,"total_tokens":862,"cached_tokens":128,"cache_write_tokens":0},"usage_cost_usd":0.0014256,"context_packet_ids":[],"created_at":"2026-09-17T04:26:29.412333+00:00"}
2026-09-16 23:26:33.045 | INFO     | argus.llm.openrouter:record_openrouter_route_receipt:309 - OpenRouter route receipt {"task":"discovery_voicing","tier":"chat","model":"deepseek/deepseek-v4-flash","fallback_model":"qwen/qwen3.5-9b","mode":"chat_model","schema_name":null,"latency_ms":3499,"outcome":"succeeded","failure_mode":null,"fallback_used":false,"token_usage":{"prompt_tokens":360,"completion_tokens":58,"total_tokens":418,"cached_tokens":321,"cache_write_tokens":0},"usage_cost_usd":1.4564e-05,"context_packet_ids":[],"created_at":"2026-09-17T04:26:33.045402+00:00"}
2026-09-16 23:26:33.045 | INFO     | argus.agent_runtime.discovery.composer:_model_knowledge_result:463 - Model-knowledge discovery response composed
2026-09-16 23:26:35.052 | INFO     | argus.llm.openrouter:record_openrouter_route_receipt:309 - OpenRouter route receipt {"task":"chat_composer","tier":"chat","model":"deepseek/deepseek-v4-flash","fallback_model":"qwen/qwen3.5-9b","mode":"json_schema","schema_name":"ArgusProseJudgeResponse","latency_ms":2005,"outcome":"succeeded","failure_mode":null,"fallback_used":false,"token_usage":{"prompt_tokens":726,"completion_tokens":16,"total_tokens":742,"cached_tokens":0,"cache_write_tokens":0},"usage_cost_usd":6.7163348e-05,"context_packet_ids":[],"created_at":"2026-09-17T04:26:35.051958+00:00"}
2026-09-16 23:26:35.924 | INFO     | argus.llm.openrouter:record_openrouter_route_receipt:309 - OpenRouter route receipt {"task":"asset_mention_preflight","tier":"structured","model":"x-ai/grok-4.3","fallback_model":"anthropic/claude-haiku-4.5","mode":"json_schema","schema_name":"LLMAssetMentionExtraction","latency_ms":865,"outcome":"succeeded","failure_mode":null,"fallback_used":false,"token_usage":{"prompt_tokens":805,"completion_tokens":46,"total_tokens":851,"cached_tokens":768,"cache_write_tokens":0},"usage_cost_usd":0.00031485,"context_packet_ids":[],"created_at":"2026-09-17T04:26:35.924147+00:00"}
2026-09-16 23:26:52.041 | INFO     | argus.llm.openrouter:record_openrouter_route_receipt:309 - OpenRouter route receipt {"task":"interpretation","tier":"structured","model":"x-ai/grok-4.3","fallback_model":"anthropic/claude-haiku-4.5","mode":"json_schema","schema_name":"LLMInterpretationResponse","latency_ms":15959,"outcome":"succeeded","failure_mode":null,"fallback_used":false,"token_usage":{"prompt_tokens":11011,"completion_tokens":1889,"total_tokens":12900,"cached_tokens":10624,"cache_write_tokens":0},"usage_cost_usd":0.00733105,"context_packet_ids":[],"created_at":"2026-09-17T04:26:52.041235+00:00"}
2026-09-16 23:27:22.954 | INFO     | argus.agent_runtime.answer_calculation:_note:958 - Answer calculation guard answer_figures_replaced {'failure': 'missing_computed_reference', 'unresolved': [], 'recovery': 'labeled_scenarios', 'missing_results': ['nvda.value_at_horizon_base']}
